Case #1: 560
35
1 46 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
28 29 7
29 30 6
30 31 5
31 32 4
32 33 3
33 34 2
34 46 1
Case #2: 890
29
1 29 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
27 28 21
28 29 20
Case #3: 20
8
1 27 8
1 2 7
2 3 6
3 4 5
4 5 4
5 6 3
6 7 2
7 27 1
Case #4: 44
11
1 26 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 26 1
Case #5: 0
1
1 46 1
Case #6: 589
22
1 22 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
10 11 31
11 12 30
12 13 29
13 14 28
14 15 27
15 16 26
16 17 25
17 18 24
18 19 23
19 20 22
20 21 21
21 22 20
Case #7: 181
6
1 6 49
1 2 48
2 3 47
3 4 46
4 5 45
5 6 44
Case #8: 702
39
1 50 39
1 2 38
2 3 37
3 4 36
4 5 35
5 6 34
6 7 33
7 8 32
8 9 31
9 10 30
10 11 29
11 12 28
12 13 27
13 14 26
14 15 25
15 16 24
16 17 23
17 18 22
18 19 21
19 20 20
20 21 19
21 22 18
22 23 17
23 24 16
24 25 15
25 26 14
26 27 13
27 28 12
28 29 11
29 30 10
30 31 9
31 32 8
32 33 7
33 34 6
34 35 5
35 36 4
36 37 3
37 38 2
38 50 1
Case #9: 350
28
1 47 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
10 11 18
11 12 17
12 13 16
13 14 15
14 15 14
15 16 13
16 17 12
17 18 11
18 19 10
19 20 9
20 21 8
21 22 7
22 23 6
23 24 5
24 25 4
25 26 3
26 27 2
27 47 1
Case #10: 65
13
1 45 13
1 2 12
2 3 11
3 4 10
4 5 9
5 6 8
6 7 7
7 8 6
8 9 5
9 10 4
10 11 3
11 12 2
12 45 1
Case #11: 44
11
1 15 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 15 1
Case #12: 626
24
1 24 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
10 11 31
11 12 30
12 13 29
13 14 28
14 15 27
15 16 26
16 17 25
17 18 24
18 19 23
19 20 22
20 21 21
21 22 20
22 23 19
23 24 18
Case #13: 20
8
1 14 8
1 2 7
2 3 6
3 4 5
4 5 4
5 6 3
6 7 2
7 14 1
Case #14: 44
11
1 32 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 32 1
Case #15: 0
1
1 23 1
Case #16: 1059
42
1 42 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
16 17 32
17 18 31
18 19 30
19 20 29
20 21 28
21 22 27
22 23 26
23 24 25
24 25 24
25 26 23
26 27 22
27 28 21
28 29 20
29 30 19
30 31 18
31 32 17
32 33 16
33 34 15
34 35 14
35 36 13
36 37 12
37 38 11
38 39 10
39 40 9
40 41 8
41 42 7
Case #17: 0
1
1 20 1
Case #18: 27
9
1 17 9
1 2 8
2 3 7
3 4 6
4 5 5
5 6 4
6 7 3
7 8 2
8 17 1
Case #19: 209
22
1 27 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
11 12 11
12 13 10
13 14 9
14 15 8
15 16 7
16 17 6
17 18 5
18 19 4
19 20 3
20 21 2
21 27 1
Case #20: 0
3
1 36 3
1 2 2
2 36 1
Case #21: 329
22
1 22 28
1 2 27
2 3 26
3 4 25
4 5 24
5 6 23
6 7 22
7 8 21
8 9 20
9 10 19
10 11 18
11 12 17
12 13 16
13 14 15
14 15 14
15 16 13
16 17 12
17 18 11
18 19 10
19 20 9
20 21 8
21 22 7
Case #22: 183
18
1 18 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
Case #23: 176
8
1 8 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
Case #24: 8
3
1 3 11
1 2 10
2 3 9
Case #25: 0
1
1 4 1
Case #26: 819
42
1 50 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
